date,month,quarter,year,week_of_year,is_weekend,season
2023-01-01,1,1,2023,52,1,Winter
2023-01-02,1,1,2023,1,0,Winter
2023-01-03,1,1,2023,1,0,Winter
2023-01-04,1,1,2023,1,0,Winter
2023-01-05,1,1,2023,1,0,Winter
2023-01-06,1,1,2023,1,0,Winter
2023-01-07,1,1,2023,1,1,Winter
2023-01-08,1,1,2023,1,1,Winter
2023-01-09,1,1,2023,2,0,Winter
2023-01-10,1,1,2023,2,0,Winter
2023-01-11,1,1,2023,2,0,Winter
2023-01-12,1,1,2023,2,0,Winter
2023-01-13,1,1,2023,2,0,Winter
2023-01-14,1,1,2023,2,1,Winter
2023-01-15,1,1,2023,2,1,Winter
2023-01-16,1,1,2023,3,0,Winter
2023-01-17,1,1,2023,3,0,Winter
2023-01-18,1,1,2023,3,0,Winter
2023-01-19,1,1,2023,3,0,Winter
2023-01-20,1,1,2023,3,0,Winter
2023-01-21,1,1,2023,3,1,Winter
2023-01-22,1,1,2023,3,1,Winter
2023-01-23,1,1,2023,4,0,Winter
2023-01-24,1,1,2023,4,0,Winter
2023-01-25,1,1,2023,4,0,Winter
2023-01-26,1,1,2023,4,0,Winter
2023-01-27,1,1,2023,4,0,Winter
2023-01-28,1,1,2023,4,1,Winter
2023-01-29,1,1,2023,4,1,Winter
2023-01-30,1,1,2023,5,0,Winter
2023-01-31,1,1,2023,5,0,Winter
2023-02-01,2,1,2023,5,0,Winter
2023-02-02,2,1,2023,5,0,Winter
2023-02-03,2,1,2023,5,0,Winter
2023-02-04,2,1,2023,5,1,Winter
2023-02-05,2,1,2023,5,1,Winter
2023-02-06,2,1,2023,6,0,Winter
2023-02-07,2,1,2023,6,0,Winter
2023-02-08,2,1,2023,6,0,Winter
2023-02-09,2,1,2023,6,0,Winter
2023-02-10,2,1,2023,6,0,Winter
2023-02-11,2,1,2023,6,1,Winter
2023-02-12,2,1,2023,6,1,Winter
2023-02-13,2,1,2023,7,0,Winter
2023-02-14,2,1,2023,7,0,Winter
2023-02-15,2,1,2023,7,0,Winter
2023-02-16,2,1,2023,7,0,Winter
2023-02-17,2,1,2023,7,0,Winter
2023-02-18,2,1,2023,7,1,Winter
2023-02-19,2,1,2023,7,1,Winter
2023-02-20,2,1,2023,8,0,Winter
2023-02-21,2,1,2023,8,0,Winter
2023-02-22,2,1,2023,8,0,Winter
2023-02-23,2,1,2023,8,0,Winter
