external_id,date,inflation_rate,competitor_price,weather_condition
1,2023-01-01,6.33,565.59,Sunny
2,2023-01-02,4.2,295.4,Rainy
3,2023-01-03,2.1,169.3,Sunny
4,2023-01-04,5.28,143.52,Rainy
5,2023-01-05,5.24,368.58,Sunny
6,2023-01-06,6.89,435.84,Sunny
7,2023-01-07,4.3,584.16,Rainy
8,2023-01-08,5.82,216.04,Sunny
9,2023-01-09,7.23,490.06,Sunny
10,2023-01-10,5.06,273.75,Sunny
11,2023-01-11,6.27,122.93,Snowy
12,2023-01-12,5.32,371.91,Cloudy
13,2023-01-13,2.24,370.9,Sunny
14,2023-01-14,6.05,451.72,Rainy
15,2023-01-15,5.8,229.86,Snowy
16,2023-01-16,5.48,248.48,Rainy
17,2023-01-17,7.1,408.26,Sunny
18,2023-01-18,5.02,363.07,Cloudy
19,2023-01-19,7.72,225.22,Sunny
20,2023-01-20,7.07,560.81,Sunny
21,2023-01-21,6.86,493.66,Snowy
22,2023-01-22,2.17,364.16,Snowy
23,2023-01-23,5.13,471.2,Sunny
24,2023-01-24,4.39,282.77,Snowy
25,2023-01-25,5.96,196.76,Sunny
26,2023-01-26,2.55,92.73,Rainy
27,2023-01-27,2.27,249.78,Cloudy
28,2023-01-28,6.81,419.21,Snowy
29,2023-01-29,2.57,422.48,Sunny
30,2023-01-30,4.51,581.85,Sunny
31,2023-01-31,6.44,173.41,Sunny
32,2023-02-01,7.7,572.34,Rainy
33,2023-02-02,5.3,287.26,Cloudy
34,2023-02-03,4.38,539.46,Rainy
35,2023-02-04,6.66,352.71,Cloudy
36,2023-02-05,6.47,421.38,Sunny
37,2023-02-06,7.96,81.33,Snowy
38,2023-02-07,3.69,572.23,Snowy
39,2023-02-08,2.19,196.67,Snowy
40,2023-02-09,7.6,525.0,Snowy
41,2023-02-10,2.22,114.96,Rainy
42,2023-02-11,3.48,292.3,Cloudy
43,2023-02-12,3.85,497.18,Rainy
44,2023-02-13,2.82,48.15,Cloudy
45,2023-02-14,2.88,558.89,Rainy
46,2023-02-15,4.76,367.47,Snowy
47,2023-02-16,3.67,139.13,Cloudy
48,2023-02-17,2.49,529.2,Sunny
49,2023-02-18,6.32,74.91,Rainy
50,2023-02-19,3.62,251.28,Cloudy
51,2023-02-20,5.35,368.46,Snowy
52,2023-02-21,2.61,125.6,Snowy
53,2023-02-22,5.21,306.91,Cloudy
54,2023-02-23,5.49,126.44,Sunny
55,2023-02-24,2.7,304.97,Cloudy
56,2023-02-25,2.4,455.03,Rainy
57,2023-02-26,6.1,293.09,Cloudy
58,2023-02-27,3.37,344.0,Sunny
59,2023-02-28,3.49,456.61,Sunny
60,2023-03-01,6.78,123.95,Sunny
61,2023-03-02,7.68,125.88,Cloudy
62,2023-03-03,6.63,249.68,Snowy
63,2023-03-04,5.11,371.11,Cloudy
64,2023-03-05,4.79,309.27,Snowy
65,2023-03-06,3.28,328.5,Cloudy
66,2023-03-07,7.39,154.88,Snowy
67,2023-03-08,2.62,227.24,Snowy
68,2023-03-09,3.33,169.4,Rainy
69,2023-03-10,7.67,119.01,Sunny
70,2023-03-11,7.36,497.77,Sunny
71,2023-03-12,2.69,356.83,Sunny
72,2023-03-13,2.79,544.32,Rainy
73,2023-03-14,7.4,529.38,Cloudy
74,2023-03-15,7.75,143.25,Snowy
75,2023-03-16,6.4,160.37,Sunny
76,2023-03-17,4.48,434.76,Sunny
77,2023-03-18,7.75,464.7,Rainy
78,2023-03-19,2.24,435.12,Sunny
79,2023-03-20,6.97,60.72,Cloudy
80,2023-03-21,6.74,218.5,Snowy
81,2023-03-22,5.77,529.26,Cloudy
82,2023-03-23,5.53,195.27,Cloudy
83,2023-03-24,7.66,403.8,Rainy
84,2023-03-25,7.3,559.54,Snowy
85,2023-03-26,7.16,296.16,Sunny
86,2023-03-27,4.45,248.71,Cloudy
87,2023-03-28,7.21,177.36,Sunny
88,2023-03-29,7.23,56.38,Snowy
89,2023-03-30,4.26,45.08,Rainy
90,2023-03-31,7.62,425.22,Rainy
91,2023-04-01,5.89,372.86,Cloudy
92,2023-04-02,2.61,518.36,Rainy
93,2023-04-03,4.52,397.57,Rainy
94,2023-04-04,5.38,304.06,Rainy
95,2023-04-05,3.11,298.77,Rainy
96,2023-04-06,3.86,294.92,Cloudy
97,2023-04-07,7.92,119.8,Snowy
98,2023-04-08,6.95,240.37,Sunny
99,2023-04-09,5.25,437.07,Sunny
100,2023-04-10,4.89,62.82,Cloudy
101,2023-04-11,5.95,318.99,Rainy
102,2023-04-12,3.55,299.07,Snowy
103,2023-04-13,4.37,379.47,Snowy
104,2023-04-14,6.29,549.06,Sunny
105,2023-04-15,2.98,259.01,Sunny
106,2023-04-16,3.02,331.07,Sunny
107,2023-04-17,6.69,435.02,Snowy
108,2023-04-18,3.35,140.81,Snowy
109,2023-04-19,2.18,212.44,Sunny
110,2023-04-20,7.87,249.61,Rainy
111,2023-04-21,5.91,99.69,Snowy
112,2023-04-22,5.9,468.51,Sunny
113,2023-04-23,4.38,429.46,Sunny
114,2023-04-24,4.28,523.47,Rainy
115,2023-04-25,6.93,281.28,Cloudy
116,2023-04-26,3.54,199.53,Rainy
117,2023-04-27,6.8,143.37,Sunny
118,2023-04-28,7.71,376.9,Sunny
119,2023-04-29,6.39,516.66,Rainy
120,2023-04-30,2.57,53.24,Snowy
121,2023-05-01,4.67,445.73,Snowy
122,2023-05-02,3.15,221.09,Sunny
123,2023-05-03,4.74,146.58,Snowy
