campaign_id,ad_channel,campaign_type,marketing_spend,conversion_rate,impressions
1,Google,Brand Awareness,14907.88,0.17,49540
2,Email,Seasonal,12732.15,0.15,30439
3,Google,Flash Sale,10770.45,0.13,7338
4,TikTok,Brand Awareness,12589.94,0.15,13601
5,TikTok,Seasonal,18850.48,0.21,25260
6,TikTok,Brand Awareness,6243.98,0.08,46099
7,TikTok,Seasonal,2406.85,0.04,43954
8,Email,Flash Sale,5483.71,0.07,15373
9,Email,Brand Awareness,5736.55,0.08,31674
10,Meta,Flash Sale,11247.5,0.13,1212
11,Google,Brand Awareness,7414.69,0.09,22243
12,Meta,Seasonal,19555.68,0.22,44237
13,Email,Seasonal,5601.04,0.08,17246
14,Google,Seasonal,10729.77,0.13,5417
15,Email,Flash Sale,14219.9,0.16,13478
16,Email,Brand Awareness,18045.09,0.2,23236
17,Meta,Seasonal,6394.5,0.08,30041
18,Google,Seasonal,7986.6,0.1,25836
19,Meta,Seasonal,14726.59,0.17,38957
20,Meta,Seasonal,19626.3,0.22,39996
21,TikTok,Flash Sale,13751.73,0.16,14386
22,Google,Seasonal,10715.51,0.13,36234
23,TikTok,Brand Awareness,7234.9,0.09,43858
24,Meta,Brand Awareness,2621.6,0.05,23471
25,TikTok,Seasonal,4502.34,0.07,49577
26,Meta,Seasonal,11532.73,0.14,21202
27,Meta,Seasonal,4331.28,0.06,28020
28,Google,Flash Sale,17273.31,0.19,15577
29,Google,Flash Sale,16412.88,0.18,24012
30,Email,Flash Sale,17052.63,0.19,48745
31,Meta,Flash Sale,11801.89,0.14,29265
32,TikTok,Brand Awareness,10434.66,0.12,9341
33,Email,Brand Awareness,9520.46,0.12,40758
34,Google,Flash Sale,3224.27,0.05,34780
35,Email,Brand Awareness,5431.33,0.07,5772
36,Meta,Brand Awareness,3112.75,0.05,34944
37,Email,Seasonal,10076.58,0.12,49736
38,Email,Seasonal,10938.86,0.13,47762
39,Meta,Brand Awareness,12782.52,0.15,15021
40,Google,Brand Awareness,6148.2,0.08,25928
41,Email,Flash Sale,8152.8,0.1,2902
42,Email,Seasonal,14142.57,0.16,31257
43,TikTok,Seasonal,12517.32,0.15,31822
44,Meta,Seasonal,16044.54,0.18,9272
45,Google,Flash Sale,8452.64,0.1,38735
46,Google,Flash Sale,9723.58,0.12,35913
47,Meta,Flash Sale,4421.28,0.06,12543
48,Email,Seasonal,9754.8,0.12,31455
49,TikTok,Brand Awareness,6260.68,0.08,46952
50,Email,Flash Sale,14056.14,0.16,2130
51,Email,Brand Awareness,5017.51,0.07,37070
52,Meta,Seasonal,7411.49,0.09,15180
53,Meta,Flash Sale,4544.77,0.07,3982
54,Meta,Seasonal,19391.89,0.21,17546
55,TikTok,Seasonal,1984.65,0.04,17265
56,Google,Seasonal,3027.29,0.05,41993
57,Email,Flash Sale,3655.68,0.06,3139
58,Meta,Brand Awareness,12857.93,0.15,10764
59,TikTok,Brand Awareness,14880.43,0.17,27378
60,Google,Seasonal,15486.72,0.17,45190
61,Email,Brand Awareness,14680.69,0.17,33225
62,Email,Brand Awareness,12617.63,0.15,3404
63,Email,Seasonal,2980.69,0.05,13293
64,Email,Seasonal,7368.75,0.09,2891
65,Google,Brand Awareness,1624.09,0.04,11090
66,Meta,Seasonal,11588.8,0.14,19104
67,Email,Flash Sale,9969.27,0.12,22786
68,TikTok,Brand Awareness,6173.74,0.08,31996
69,Email,Seasonal,2978.06,0.05,48346
70,Email,Flash Sale,2651.58,0.05,42077
71,Google,Flash Sale,8214.16,0.1,11902
72,Email,Brand Awareness,4460.04,0.06,45682
73,Email,Brand Awareness,16629.09,0.19,17644
74,TikTok,Brand Awareness,13635.7,0.16,28807
75,TikTok,Brand Awareness,2296.74,0.04,20348
76,TikTok,Seasonal,12306.48,0.14,42721
77,Meta,Seasonal,2442.73,0.04,20340
78,TikTok,Brand Awareness,14757.96,0.17,23198
79,TikTok,Brand Awareness,11790.96,0.14,9099
80,TikTok,Brand Awareness,3290.77,0.05,15507
81,Google,Seasonal,12701.4,0.15,16387
82,Email,Flash Sale,8937.57,0.11,3144
83,Email,Flash Sale,3079.88,0.05,13439
84,Meta,Seasonal,5382.73,0.07,37320
85,Meta,Seasonal,8528.6,0.11,44323
86,Meta,Brand Awareness,10056.86,0.12,28588
87,Google,Brand Awareness,10421.64,0.12,44181
88,Google,Flash Sale,7346.17,0.09,40865
89,Email,Brand Awareness,7367.26,0.09,40677
90,Google,Flash Sale,6383.52,0.08,28968
91,TikTok,Seasonal,14455.27,0.16,37462
92,Google,Brand Awareness,16608.75,0.19,34253
93,Google,Brand Awareness,6669.11,0.09,44111
94,Email,Seasonal,19695.58,0.22,10297
95,TikTok,Brand Awareness,4870.32,0.07,40074
96,Email,Flash Sale,12538.82,0.15,18902
97,Google,Seasonal,8457.38,0.1,14397
98,Meta,Flash Sale,14346.83,0.16,35903
99,Email,Brand Awareness,4816.32,0.07,27504
100,Email,Seasonal,16232.83,0.18,16945
101,Google,Brand Awareness,14771.7,0.17,34420
102,Google,Seasonal,5340.64,0.07,42153
103,TikTok,Flash Sale,15111.42,0.17,39759
104,Google,Brand Awareness,13445.18,0.15,39933
105,Email,Seasonal,19456.51,0.21,23507
106,Email,Flash Sale,13478.0,0.15,23175
107,Meta,Flash Sale,9186.86,0.11,6341
108,TikTok,Seasonal,11604.66,0.14,44916
109,Meta,Seasonal,12108.74,0.14,11154
110,Meta,Brand Awareness,13795.22,0.16,29683
111,TikTok,Flash Sale,16786.67,0.19,13715
112,Google,Brand Awareness,1916.03,0.04,32495
113,Google,Seasonal,18126.14,0.2,30565
114,Google,Flash Sale,5513.34,0.08,7493
115,Google,Seasonal,1487.2,0.03,2245
116,Email,Seasonal,19138.54,0.21,8265
117,Email,Seasonal,11244.06,0.13,44540
118,Email,Flash Sale,4519.34,0.07,17623
119,TikTok,Brand Awareness,5333.52,0.07,12474
120,Google,Flash Sale,15566.47,0.18,21321
121,Google,Flash Sale,11387.25,0.13,29636
