product_id,product_category,brand,product_price,cost_price,profit_margin
1,Electric Accessories,NextTech,218.54,171.6,46.94
2,Smart Wearables,NextTech,50.35,40.16,10.19
3,Electric Accessories,FutureX,403.33,225.83,177.5
4,Electric Accessories,FutureX,158.46,111.71,46.75
5,AI Gadgets,NextTech,486.31,356.24,130.07
6,Electric Accessories,VoltPro,484.36,330.39,153.97
7,Smart Wearables,NextTech,378.05,276.5,101.55
8,AI Gadgets,NextTech,432.01,309.54,122.47
9,Smart Wearables,NextTech,278.86,215.36,63.5
10,Electric Accessories,VoltPro,133.96,102.85,31.11
11,Electric Accessories,FutureX,149.95,80.37,69.58
12,AI Gadgets,NextTech,498.98,289.43,209.55
13,Smart Wearables,VoltPro,86.38,52.77,33.61
14,Electric Accessories,VoltPro,354.9,179.22,175.68
15,AI Gadgets,VoltPro,144.08,95.44,48.64
16,AI Gadgets,FutureX,207.14,148.68,58.46
17,Smart Wearables,VoltPro,473.06,374.71,98.35
18,Smart Wearables,NextTech,305.74,161.46,144.28
19,AI Gadgets,FutureX,271.63,151.73,119.9
20,Smart Wearables,VoltPro,298.74,200.66,98.08
21,Electric Accessories,NextTech,81.69,45.96,35.73
22,AI Gadgets,NextTech,440.18,340.69,99.49
23,Smart Wearables,NextTech,247.31,173.51,73.8
24,Smart Wearables,FutureX,147.12,101.05,46.07
25,Smart Wearables,NextTech,384.82,221.37,163.45
26,Smart Wearables,VoltPro,479.69,346.03,133.66
27,Electric Accessories,NextTech,190.14,150.94,39.2
28,Electric Accessories,VoltPro,331.64,215.88,115.76
29,Smart Wearables,NextTech,308.02,165.88,142.14
30,Smart Wearables,FutureX,82.03,48.86,33.17
31,AI Gadgets,VoltPro,296.59,185.97,110.62
32,Electric Accessories,FutureX,219.98,145.25,74.73
33,Electric Accessories,VoltPro,308.05,212.42,95.63
34,AI Gadgets,VoltPro,449.47,272.05,177.42
35,Electric Accessories,FutureX,115.97,75.84,40.13
36,AI Gadgets,FutureX,240.9,185.95,54.95
37,AI Gadgets,NextTech,156.88,97.28,59.6
38,Smart Wearables,VoltPro,299.23,236.63,62.6
39,AI Gadgets,VoltPro,450.62,286.91,163.71
40,Electric Accessories,FutureX,235.04,160.02,75.02
41,AI Gadgets,FutureX,70.35,35.73,34.62
42,AI Gadgets,NextTech,56.15,29.34,26.81
43,AI Gadgets,NextTech,108.12,85.01,23.11
44,Electric Accessories,NextTech,485.59,255.67,229.92
45,Electric Accessories,FutureX,207.76,140.65,67.11
46,Smart Wearables,VoltPro,271.45,156.76,114.69
47,Smart Wearables,FutureX,230.14,163.24,66.9
48,AI Gadgets,VoltPro,89.92,48.21,41.71
49,AI Gadgets,FutureX,464.39,240.7,223.69
50,Smart Wearables,NextTech,116.48,62.89,53.59
51,Electric Accessories,NextTech,59.03,35.22,23.81
52,AI Gadgets,FutureX,304.01,186.55,117.46
53,Smart Wearables,NextTech,160.68,88.09,72.59
54,Smart Wearables,NextTech,427.36,239.97,187.39
55,AI Gadgets,FutureX,266.51,175.84,90.67
56,AI Gadgets,FutureX,322.75,238.28,84.47
57,Smart Wearables,NextTech,308.51,232.17,76.34
58,Smart Wearables,VoltPro,371.2,285.79,85.41
59,Smart Wearables,FutureX,244.19,146.48,97.71
60,Electric Accessories,NextTech,65.09,43.67,21.42
61,Smart Wearables,FutureX,153.16,109.77,43.39
62,AI Gadgets,FutureX,313.8,204.52,109.28
63,AI Gadgets,NextTech,81.01,42.38,38.63
64,Smart Wearables,NextTech,229.55,118.55,111.0
65,Electric Accessories,NextTech,463.3,313.25,150.05
66,AI Gadgets,FutureX,488.99,311.83,177.16
67,Smart Wearables,FutureX,135.81,69.39,66.42
68,Smart Wearables,VoltPro,83.98,60.97,23.01
69,AI Gadgets,NextTech,352.35,178.26,174.09
70,AI Gadgets,FutureX,232.88,139.08,93.8
71,Smart Wearables,VoltPro,203.82,117.77,86.05
72,AI Gadgets,NextTech,493.42,316.44,176.98
73,Smart Wearables,VoltPro,361.05,254.52,106.53
74,AI Gadgets,VoltPro,318.84,216.86,101.98
75,Smart Wearables,FutureX,90.65,66.29,24.36
76,Electric Accessories,VoltPro,64.03,37.05,26.98
77,Electric Accessories,VoltPro,319.23,203.64,115.59
78,Smart Wearables,VoltPro,337.53,245.62,91.91
79,Smart Wearables,NextTech,466.36,258.44,207.92
80,Electric Accessories,FutureX,318.32,181.12,137.2
81,Electric Accessories,FutureX,331.65,253.98,77.67
82,AI Gadgets,VoltPro,492.84,360.01,132.83
83,AI Gadgets,NextTech,459.65,236.04,223.61
84,Electric Accessories,VoltPro,323.48,211.49,111.99
85,Smart Wearables,VoltPro,497.71,274.82,222.89
86,AI Gadgets,NextTech,226.03,131.52,94.51
87,AI Gadgets,FutureX,166.89,119.66,47.23
88,Smart Wearables,FutureX,120.8,66.21,54.59
89,Electric Accessories,VoltPro,421.62,227.11,194.51
