transaction_id,date,product_id,store_id,customer_segment,units_sold,total_sales_revenue,total_discount_given,net_sales,gross_profit,return_rate
1,2023-01-01,1,1,Budget,90,19668.6,471.98,19196.62,3752.62,0.02
2,2023-01-02,2,7,Enterprise,103,5186.05,432.86,4753.1900000000005,616.71,0.04
3,2023-01-03,3,11,Budget,105,42349.65,4457.01,37892.64,14180.49,0.04
4,2023-01-04,4,18,Enterprise,31,4912.26,72.77,4839.49,1376.48,0.06
5,2023-01-05,5,8,Enterprise,112,54466.72,3034.65,51432.07,11533.19,0.08
6,2023-01-06,6,6,Premium,59,28577.24,3495.21,25082.030000000002,5589.02,0.01
7,2023-01-07,7,11,Enterprise,67,25329.35,1568.26,23761.09,5235.59,0.06
8,2023-01-08,8,8,Enterprise,39,16848.39,1333.24,15515.15,3443.09,0.01
9,2023-01-09,9,6,Premium,36,10038.96,208.58,9830.38,2077.42,0.07
10,2023-01-10,10,9,Premium,100,13396.0,340.36,13055.64,2770.64,0.01
11,2023-01-11,11,17,Budget,115,17244.25,1519.81,15724.44,6481.89,0.07
12,2023-01-12,12,2,Budget,97,48401.06,707.97,47693.09,19618.38,0.05
13,2023-01-13,13,7,Premium,75,6478.5,639.39,5839.11,1881.36,0.03
14,2023-01-14,14,8,Enterprise,38,13486.2,793.17,12693.03,5882.67,0.09
15,2023-01-15,15,16,Budget,36,5186.88,455.04,4731.84,1296.0,0.09
16,2023-01-16,16,15,Budget,61,12635.54,841.92,11793.62,2724.14,0.07
17,2023-01-17,17,15,Premium,107,50617.42,2095.44,48521.979999999996,8428.01,0.07
18,2023-01-18,18,6,Premium,55,16815.7,742.56,16073.140000000001,7192.84,0.08
19,2023-01-19,19,18,Premium,52,14124.76,227.47,13897.29,6007.33,0.08
20,2023-01-20,20,16,Budget,115,34355.1,1813.87,32541.23,9465.33,0.05
21,2023-01-21,21,19,Premium,50,4084.5,542.55,3541.95,1243.95,0.04
22,2023-01-22,22,10,Premium,85,37415.3,3663.15,33752.15,4793.5,0.09
23,2023-01-23,23,12,Enterprise,83,20526.73,1903.17,18623.559999999998,4222.23,0.02
24,2023-01-24,24,4,Enterprise,80,11769.6,1270.31,10499.29,2415.29,0.01
25,2023-01-25,25,14,Budget,99,38097.18,2562.17,35535.01,13619.38,0.07
26,2023-01-26,26,5,Premium,53,25423.57,2852.66,22570.91,4231.32,0.04
27,2023-01-27,27,4,Budget,41,7795.74,594.71,7201.03,1012.49,0.07
28,2023-01-28,28,8,Premium,116,38470.24,4068.42,34401.82,9359.74,0.07
29,2023-01-29,29,1,Premium,84,25873.68,3740.47,22133.21,8199.29,0.01
30,2023-01-30,30,6,Enterprise,76,6234.28,289.88,5944.4,2231.04,0.01
31,2023-01-31,31,7,Budget,78,23134.02,1041.08,22092.940000000002,7587.28,0.07
32,2023-02-01,32,17,Enterprise,40,8799.2,1191.18,7608.02,1798.02,0.04
33,2023-02-02,33,10,Budget,43,13246.15,1527.71,11718.439999999999,2584.38,0.02
34,2023-02-03,34,7,Enterprise,108,48542.76,5161.27,43381.490000000005,14000.09,0.03
35,2023-02-04,35,8,Budget,25,2899.25,358.9,2540.35,644.35,0.02
36,2023-02-05,36,8,Budget,96,23126.4,1052.61,22073.79,4222.59,0.08
37,2023-02-06,37,15,Premium,51,8000.88,1158.94,6841.9400000000005,1880.66,0.06
38,2023-02-07,38,9,Premium,83,24836.09,2667.52,22168.57,2528.28,0.01
39,2023-02-08,39,3,Enterprise,34,15321.08,986.03,14335.05,4580.11,0.05
40,2023-02-09,40,14,Enterprise,33,7756.32,1066.73,6689.59,1408.93,0.05
41,2023-02-10,41,18,Premium,102,7175.7,450.23,6725.469999999999,3081.01,0.02
42,2023-02-11,42,20,Budget,105,5895.75,884.13,5011.62,1930.92,0.09
43,2023-02-12,43,15,Premium,98,10595.76,175.52,10420.24,2089.26,0.08
44,2023-02-13,44,2,Enterprise,52,25250.68,726.26,24524.420000000002,11229.58,0.03
45,2023-02-14,45,12,Budget,82,17036.32,1396.27,15640.05,4106.75,0.1
46,2023-02-15,46,8,Enterprise,67,18187.15,1762.57,16424.58,5921.66,0.06
47,2023-02-16,47,16,Enterprise,31,7134.34,544.74,6589.6,1529.16,0.03
48,2023-02-17,48,19,Premium,76,6833.92,416.85,6417.07,2753.11,0.07
49,2023-02-18,49,6,Premium,24,11145.36,1650.36,9495.0,3718.2,0.06
50,2023-02-19,50,14,Enterprise,46,5358.08,437.41,4920.67,2027.73,0.03
51,2023-02-20,51,10,Premium,72,4250.16,324.52,3925.64,1389.8,0.08
52,2023-02-21,52,8,Enterprise,79,24016.79,2411.97,21604.82,6867.37,0.03
53,2023-02-22,53,10,Budget,101,16228.68,174.33,16054.35,7157.26,0.07
54,2023-02-23,54,19,Premium,120,51283.2,3567.32,47715.88,18919.48,0.04
55,2023-02-24,55,3,Enterprise,93,24785.43,2152.59,22632.84,6279.72,0.01
56,2023-02-25,56,10,Enterprise,95,30661.25,3872.11,26789.14,4152.54,0.03
57,2023-02-26,57,18,Premium,42,12957.42,467.72,12489.7,2738.56,0.06
58,2023-02-27,58,8,Enterprise,52,19302.4,1378.66,17923.74,3062.66,0.02
59,2023-02-28,59,20,Premium,74,18070.06,1749.37,16320.690000000002,5481.17,0.04
60,2023-03-01,60,14,Budget,104,6769.36,391.89,6377.469999999999,1835.79,0.05
61,2023-03-02,61,17,Enterprise,46,7045.36,411.43,6633.929999999999,1584.51,0.05
62,2023-03-03,62,4,Premium,80,25104.0,2335.04,22768.96,6407.36,0.07
63,2023-03-04,63,13,Premium,59,4779.59,123.57,4656.02,2155.6,0.09
64,2023-03-05,64,9,Enterprise,74,16986.7,2043.34,14943.36,6170.66,0.09
65,2023-03-06,65,18,Premium,72,33357.6,1106.53,32251.07,9697.07,0.03
66,2023-03-07,66,8,Enterprise,74,36185.26,5411.95,30773.31,7697.89,0.03
67,2023-03-08,67,10,Enterprise,50,6790.5,746.74,6043.76,2574.26,0.08
68,2023-03-09,68,8,Budget,56,4702.88,316.14,4386.74,972.42,0.01
69,2023-03-10,69,5,Budget,86,30302.1,3360.92,26941.18,11610.82,0.1
70,2023-03-11,70,11,Premium,97,22589.36,496.32,22093.04,8602.28,0.05
71,2023-03-12,71,10,Enterprise,28,5706.96,675.34,5031.62,1734.06,0.08
72,2023-03-13,72,10,Budget,38,18749.96,2134.42,16615.54,4590.82,0.05
73,2023-03-14,73,13,Budget,62,22385.1,1960.6,20424.5,4644.26,0.02
74,2023-03-15,74,18,Enterprise,92,29333.28,2647.66,26685.62,6734.5,0.04
75,2023-03-16,75,16,Enterprise,25,2266.25,250.8,2015.45,358.2,0.09
76,2023-03-17,76,2,Enterprise,74,4738.22,681.04,4057.1800000000003,1315.48,0.04
77,2023-03-18,77,2,Enterprise,61,19473.03,2395.97,17077.059999999998,4655.02,0.02
78,2023-03-19,78,12,Premium,95,32065.35,4132.82,27932.53,4598.63,0.09
79,2023-03-20,79,13,Budget,28,13058.08,1905.8,11152.28,3915.96,0.04
80,2023-03-21,80,4,Enterprise,20,6366.4,684.26,5682.139999999999,2059.74,0.06
81,2023-03-22,81,4,Premium,88,29185.2,3555.62,25629.58,3279.34,0.05
82,2023-03-23,82,18,Premium,24,11828.16,1330.88,10497.279999999999,1857.04,0.07
83,2023-03-24,83,12,Budget,91,41828.15,5950.58,35877.57,14397.93,0.03
84,2023-03-25,84,20,Budget,74,23937.52,978.28,22959.24,7308.98,0.1
85,2023-03-26,85,1,Premium,69,34341.99,4658.18,29683.809999999998,10721.23,0.09
86,2023-03-27,86,19,Budget,85,19212.55,2762.6,16449.95,5270.75,0.02
87,2023-03-28,87,17,Budget,93,15520.77,1396.63,14124.14,2995.76,0.06
88,2023-03-29,88,13,Budget,64,7731.2,832.23,6898.969999999999,2661.53,0.09
89,2023-03-30,89,19,Premium,56,23610.72,1091.2,22519.52,9801.36,0.02
90,2023-03-31,90,8,Premium,91,38075.31,3266.0,34809.31,14304.28,0.02
91,2023-04-01,91,3,Budget,39,3140.67,56.87,3083.8,1229.74,0.05
92,2023-04-02,92,14,Premium,121,26938.23,3357.31,23580.92,9581.22,0.09
93,2023-04-03,93,18,Premium,52,14932.32,1517.6,13414.72,2248.76,0.09
94,2023-04-04,94,10,Budget,20,4578.4,251.37,4327.03,1661.23,0.07
95,2023-04-05,95,15,Enterprise,71,20905.95,1761.32,19144.63,7693.04,0.1
96,2023-04-06,96,3,Premium,22,1112.1,42.34,1069.76,314.06,0.08
97,2023-04-07,97,19,Premium,62,3424.26,446.58,2977.6800000000003,1190.84,0.03
98,2023-04-08,98,4,Budget,87,23881.5,2832.65,21048.85,4678.93,0.02
99,2023-04-09,99,2,Premium,31,6043.14,148.9,5894.240000000001,1100.71,0.01
100,2023-04-10,100,11,Budget,90,39774.6,3807.07,35967.53,7559.03,0.08
101,2023-04-11,101,11,Enterprise,27,3342.6,441.39,2901.21,790.08,0.08
102,2023-04-12,102,5,Enterprise,72,21593.52,3162.83,18430.690000000002,2975.17,0.01
103,2023-04-13,103,5,Enterprise,51,22476.72,2640.6,19836.120000000003,3694.62,0.01
104,2023-04-14,104,2,Enterprise,80,25518.4,3514.67,22003.730000000003,3174.13,0.02
105,2023-04-15,105,7,Budget,64,8375.04,373.63,8001.410000000001,3216.77,0.06
