store_id,city,region,store_type,population_density
1,London,Europe,Online,4657
7,New York,North America,Hybrid,4257
11,Toronto,North America,Online,6514
18,New York,Europe,Online,5803
8,New York,Europe,Offline,8428
6,London,North America,Online,8573
11,Toronto,Europe,Online,4456
8,London,Europe,Hybrid,8019
6,London,Europe,Hybrid,2040
9,London,Europe,Online,5808
17,London,North America,Online,7126
2,New York,North America,Online,8962
7,London,Europe,Offline,7118
8,London,North America,Online,2163
16,New York,North America,Hybrid,8744
15,London,North America,Hybrid,2612
15,New York,Europe,Online,5563
6,Toronto,Europe,Offline,4502
18,London,Europe,Online,4111
16,London,North America,Online,9320
19,London,North America,Hybrid,2343
10,Toronto,Europe,Online,1152
12,Toronto,North America,Offline,9900
4,New York,North America,Offline,5616
14,Toronto,North America,Online,6464
5,London,North America,Offline,3426
4,Toronto,Europe,Hybrid,3532
8,Toronto,North America,Hybrid,2771
1,London,North America,Offline,6378
6,London,Europe,Online,2776
7,Toronto,North America,Hybrid,8144
17,Toronto,Europe,Offline,7592
10,Toronto,North America,Offline,5700
7,London,Europe,Hybrid,3780
8,New York,North America,Online,1757
8,New York,North America,Online,7965
15,London,Europe,Offline,9270
9,London,Europe,Hybrid,4919
3,New York,North America,Online,7275
14,New York,North America,Offline,7381
18,London,North America,Offline,4595
20,London,North America,Offline,1444
15,Toronto,Europe,Offline,5558
2,New York,North America,Online,1333
12,New York,North America,Online,6096
8,New York,Europe,Hybrid,2983
16,New York,Europe,Offline,8532
19,Toronto,Europe,Online,2419
6,Toronto,North America,Offline,5232
14,Toronto,North America,Hybrid,8800
10,London,Europe,Offline,9698
8,New York,North America,Offline,2958
10,New York,Europe,Online,5952
19,Toronto,Europe,Offline,8216
3,London,North America,Online,3444
10,London,Europe,Offline,1986
18,New York,North America,Online,7693
8,Toronto,North America,Offline,2880
20,London,Europe,Offline,3037
14,London,Europe,Hybrid,5102
17,London,Europe,Offline,3973
4,New York,Europe,Offline,9117
13,London,North America,Hybrid,9889
9,London,North America,Offline,8178
18,Toronto,North America,Online,2858
8,Toronto,North America,Offline,4122
10,London,Europe,Online,8316
8,London,Europe,Online,7730
5,London,Europe,Online,8213
11,London,Europe,Hybrid,2315
10,New York,North America,Offline,2612
10,Toronto,Europe,Offline,3385
13,London,North America,Offline,3344
18,New York,North America,Offline,6661
16,New York,North America,Offline,6881
2,London,Europe,Offline,4770
2,Toronto,Europe,Online,6977
12,London,Europe,Online,5210
13,London,Europe,Online,7464
4,London,North America,Offline,1410
4,New York,North America,Online,5986
18,Toronto,North America,Offline,2622
12,New York,Europe,Hybrid,6876
20,New York,North America,Offline,4990
1,Toronto,North America,Online,9850
19,Toronto,North America,Online,5347
17,London,North America,Offline,9254
13,Toronto,North America,Offline,8267
19,London,Europe,Offline,9692
8,Toronto,Europe,Offline,7532
3,New York,North America,Online,8075
14,London,North America,Offline,6119
18,Toronto,North America,Offline,4705
10,Toronto,Europe,Online,3972
15,Toronto,North America,Offline,6105
3,Toronto,Europe,Hybrid,7947
19,Toronto,Europe,Online,4612
4,New York,Europe,Hybrid,8055
2,Toronto,North America,Offline,2275
11,New York,Europe,Hybrid,6928
11,New York,Europe,Online,2251
5,Toronto,North America,Online,3504
5,Toronto,North America,Offline,8245
2,New York,Europe,Offline,2257
7,Toronto,Europe,Hybrid,3471
15,Toronto,North America,Offline,7108
18,London,Europe,Offline,5128
13,New York,North America,Offline,7171
10,New York,North America,Offline,8967
20,New York,Europe,Online,3658
10,London,Europe,Online,9749
17,Toronto,North America,Online,3267
6,Toronto,Europe,Hybrid,3414
12,New York,Europe,Online,7142
16,London,North America,Hybrid,8685
8,Toronto,North America,Online,4906
10,Toronto,North America,Hybrid,6780
17,London,North America,Offline,8702
4,London,Europe,Online,1726
15,New York,Europe,Online,1717
7,Toronto,Europe,Online,6438
16,Toronto,Europe,Online,7955
10,Toronto,Europe,Hybrid,7981
3,London,Europe,Offline,9406
12,Toronto,Europe,Hybrid,1530
17,Toronto,Europe,Offline,5566
15,New York,Europe,Hybrid,9047
12,London,North America,Hybrid,9882
5,New York,Europe,Online,6912
16,London,Europe,Offline,2208
19,New York,North America,Offline,9238
12,London,Europe,Online,5105
20,London,Europe,Hybrid,1674
1,Toronto,Europe,Hybrid,5949
14,Toronto,Europe,Online,6573
18,New York,Europe,Online,8642
14,New York,North America,Offline,6123
13,London,Europe,Online,4524
4,Toronto,North America,Offline,6992
17,Toronto,Europe,Hybrid,2946
17,Toronto,North America,Online,1637
6,Toronto,Europe,Hybrid,6511
4,Toronto,Europe,Hybrid,1436
20,Toronto,North America,Hybrid,4968
7,Toronto,Europe,Hybrid,2020
15,London,Europe,Hybrid,6804
10,London,North America,Hybrid,9011
18,Toronto,Europe,Offline,3399
7,New York,Europe,Hybrid,5450
8,London,North America,Online,2641
16,Toronto,North America,Offline,6262
2,Toronto,Europe,Online,5742
18,London,Europe,Online,9261
1,London,Europe,Offline,4164
16,Toronto,North America,Online,5272
8,New York,North America,Offline,6026
8,New York,North America,Offline,3509
3,London,Europe,Hybrid,6927
15,New York,North America,Hybrid,9008
10,London,North America,Offline,5169
3,Toronto,North America,Offline,7698
13,New York,North America,Hybrid,6697
15,London,Europe,Hybrid,7214
14,London,North America,Online,4376
8,London,North America,Online,3295
17,New York,Europe,Offline,5508
13,London,Europe,Hybrid,7821
5,Toronto,North America,Hybrid,7761
3,London,North America,Online,5398
1,New York,North America,Hybrid,2922
10,Toronto,Europe,Hybrid,6886
12,Toronto,Europe,Online,4625
8,Toronto,North America,Offline,6530
6,New York,Europe,Online,9882
8,New York,North America,Online,4583
18,Toronto,North America,Online,9673
5,New York,North America,Hybrid,9625
8,Toronto,North America,Hybrid,1519
3,Toronto,Europe,Hybrid,6427
9,London,North America,Online,6152
8,London,Europe,Hybrid,9856
8,New York,Europe,Hybrid,7499
13,Toronto,North America,Hybrid,7227
5,London,Europe,Offline,6909
6,Toronto,Europe,Hybrid,9395
14,Toronto,North America,Hybrid,4977
5,New York,North America,Offline,5521
7,Toronto,North America,Online,5991
20,New York,Europe,Offline,4290
9,Toronto,Europe,Online,4273
3,Toronto,Europe,Online,5961
16,London,Europe,Hybrid,9300
12,New York,North America,Hybrid,7547
13,Toronto,North America,Offline,1402
15,New York,Europe,Offline,8801
4,New York,Europe,Hybrid,2791
15,New York,Europe,Hybrid,4022
7,New York,Europe,Hybrid,2025
16,London,Europe,Hybrid,7367
10,London,North America,Hybrid,3194
14,London,North America,Hybrid,7286
6,Toronto,Europe,Hybrid,1878
14,London,Europe,Offline,3740
19,London,Europe,Hybrid,9369
14,New York,North America,Offline,1528
12,London,Europe,Online,3281
10,London,Europe,Hybrid,2560
11,New York,Europe,Offline,3329
9,London,Europe,Offline,8996
7,Toronto,North America,Offline,5399
2,New York,Europe,Online,3035
3,London,Europe,Offline,2350
4,New York,North America,Offline,2276
5,Toronto,North America,Online,7276
5,New York,North America,Hybrid,3688
4,New York,North America,Hybrid,7291
20,London,Europe,Hybrid,1439
8,Toronto,Europe,Online,4949
12,London,North America,Offline,2195
17,Toronto,Europe,Hybrid,7590
13,London,North America,Offline,8167
2,Toronto,North America,Online,1207
5,London,Europe,Hybrid,2934
17,Toronto,North America,Offline,3734
8,New York,Europe,Offline,7274
11,Toronto,North America,Hybrid,7108
10,Toronto,North America,Hybrid,8483
16,New York,North America,Online,1104
10,New York,North America,Hybrid,4902
14,London,Europe,Offline,2391
5,New York,Europe,Offline,6161
4,New York,North America,Online,8365
9,New York,North America,Online,5984
2,London,Europe,Offline,3848
4,New York,North America,Online,3141
7,London,Europe,Online,2506
13,London,Europe,Online,6799
16,Toronto,Europe,Online,2437
16,London,Europe,Offline,9231
16,London,Europe,Hybrid,4813
12,New York,North America,Online,6210
10,New York,Europe,Online,2478
5,Toronto,North America,Offline,1975
13,London,North America,Offline,5944
20,Toronto,North America,Hybrid,3872
13,London,North America,Online,6213
8,Toronto,Europe,Online,2453
4,London,North America,Online,7323
19,London,North America,Online,8393
13,New York,North America,Hybrid,2525
11,New York,North America,Offline,9849
12,New York,Europe,Online,5825
4,Toronto,Europe,Offline,9013
6,Toronto,North America,Offline,8204
12,London,Europe,Hybrid,4727
13,London,North America,Hybrid,9467
14,New York,Europe,Online,3422
18,Toronto,Europe,Hybrid,8506
10,London,Europe,Offline,5327
20,London,Europe,Online,7484
10,Toronto,Europe,Hybrid,2609
3,New York,Europe,Online,7671
17,Toronto,North America,Hybrid,1474
7,Toronto,Europe,Offline,9275
19,London,Europe,Offline,3679
8,London,North America,Offline,7709
20,Toronto,Europe,Offline,7168
12,London,Europe,Offline,2771
10,New York,North America,Hybrid,4937
14,Toronto,Europe,Hybrid,1578
6,London,North America,Offline,2599
8,London,Europe,Offline,6428
19,London,North America,Offline,4187
7,Toronto,Europe,Hybrid,8496
11,London,North America,Online,8406
14,London,Europe,Offline,8029
7,New York,North America,Hybrid,5076
10,Toronto,Europe,Hybrid,9524
13,New York,North America,Online,3149
9,London,North America,Hybrid,1785
18,Toronto,Europe,Hybrid,3508
17,London,North America,Offline,2867
10,New York,North America,Hybrid,9132
16,New York,North America,Hybrid,2229
4,New York,North America,Offline,6901
6,Toronto,Europe,Offline,5395
13,London,Europe,Offline,3732
19,London,Europe,Online,7221
2,New York,Europe,Hybrid,6148
13,New York,North America,Online,3571
2,London,North America,Hybrid,7203
4,Toronto,North America,Online,7609
15,Toronto,Europe,Online,4652
8,New York,Europe,Offline,5783
14,New York,Europe,Hybrid,4209
19,New York,Europe,Offline,9260
19,New York,North America,Online,7347
15,New York,North America,Offline,9393
10,London,Europe,Hybrid,3173
19,London,Europe,Hybrid,9747
2,New York,Europe,Online,5695
4,London,North America,Hybrid,7371
18,New York,North America,Hybrid,5117
6,London,North America,Online,3847
9,New York,Europe,Offline,3536
11,London,North America,Online,9529
11,Toronto,Europe,Offline,4579
20,London,North America,Online,6258
15,Toronto,North America,Offline,4154
7,London,Europe,Online,4368
2,New York,North America,Online,3916
14,Toronto,North America,Offline,2938
4,Toronto,Europe,Hybrid,2417
5,London,Europe,Hybrid,5832
1,London,Europe,Hybrid,9970
5,New York,North America,Online,5140
3,Toronto,North America,Online,8982
7,Toronto,Europe,Offline,6379
11,New York,North America,Hybrid,8145
10,Toronto,North America,Online,2343
1,London,Europe,Hybrid,4485
10,New York,Europe,Hybrid,9362
6,London,North America,Hybrid,8921
7,London,Europe,Offline,8695
19,New York,Europe,Hybrid,7201
16,London,North America,Hybrid,3276
12,London,North America,Hybrid,4773
14,New York,North America,Online,3095
6,London,Europe,Hybrid,1305
20,New York,North America,Hybrid,9369
5,New York,North America,Online,9564
4,New York,Europe,Hybrid,3135
14,New York,Europe,Offline,6742
18,Toronto,Europe,Online,1089
14,Toronto,North America,Online,7980
18,London,Europe,Online,7065
8,Toronto,North America,Online,4513
3,New York,Europe,Hybrid,8133
17,Toronto,North America,Online,9099
17,London,North America,Hybrid,3776
12,London,Europe,Offline,4281
8,London,North America,Offline,7618
17,Toronto,Europe,Hybrid,8254
9,New York,Europe,Hybrid,4610
13,London,Europe,Online,3924
7,New York,North America,Offline,4387
16,London,North America,Hybrid,1692
13,New York,North America,Online,9613
17,Toronto,Europe,Hybrid,1137
9,New York,Europe,Offline,6621
15,New York,North America,Hybrid,4744
16,New York,North America,Offline,9185
2,New York,Europe,Offline,2577
12,London,North America,Hybrid,9821
10,Toronto,North America,Online,6527
10,London,Europe,Hybrid,7479
5,London,North America,Hybrid,5122
2,New York,Europe,Hybrid,2363
10,Toronto,North America,Online,9630
18,Toronto,North America,Hybrid,9835
8,New York,Europe,Offline,6992
18,New York,Europe,Offline,5908
14,Toronto,North America,Online,7385
18,Toronto,Europe,Online,2121
16,New York,Europe,Online,3492
8,New York,North America,Online,9086
11,New York,North America,Online,5366
8,Toronto,Europe,Online,1549
11,New York,North America,Hybrid,9534
4,New York,Europe,Offline,1246
16,London,North America,Offline,2466
5,London,North America,Online,8992
13,Toronto,North America,Offline,1646
11,London,Europe,Offline,3627
17,Toronto,North America,Online,6965
20,Toronto,Europe,Offline,6276
4,Toronto,North America,Online,1521
3,New York,North America,Hybrid,9051
17,New York,North America,Offline,2276
8,London,North America,Hybrid,7802
18,Toronto,Europe,Hybrid,3591
11,London,North America,Hybrid,9939
2,Toronto,North America,Hybrid,3213
18,London,North America,Online,1618
3,London,Europe,Hybrid,4562
19,New York,Europe,Online,7251
20,New York,Europe,Online,5993
13,Toronto,North America,Online,8076
9,New York,Europe,Hybrid,8118
7,London,North America,Online,2173
12,New York,Europe,Offline,1396
7,London,Europe,Online,2405
10,Toronto,Europe,Online,6437
1,Toronto,North America,Offline,3790
3,Toronto,Europe,Hybrid,6901
20,London,North America,Online,4258
13,London,North America,Online,6681
13,New York,Europe,Online,3485
5,Toronto,Europe,Hybrid,6395
17,New York,Europe,Online,3589
1,Toronto,Europe,Offline,5970
9,London,North America,Hybrid,4804
12,New York,Europe,Offline,8763
7,New York,North America,Online,8197
20,London,Europe,Hybrid,6126
13,London,North America,Hybrid,7347
14,Toronto,North America,Hybrid,9470
11,Toronto,North America,Online,8433
15,London,Europe,Online,9582
11,London,North America,Online,3369
7,New York,Europe,Online,8514
16,Toronto,Europe,Offline,2300
12,New York,North America,Online,5889
20,London,North America,Offline,6901
10,Toronto,North America,Online,5496
17,New York,Europe,Hybrid,5705
16,Toronto,North America,Hybrid,4812
20,Toronto,Europe,Online,6468
17,London,Europe,Online,2865
16,Toronto,North America,Hybrid,3224
17,Toronto,Europe,Hybrid,9779
11,Toronto,North America,Hybrid,7382
16,New York,Europe,Offline,5958
1,Toronto,North America,Online,6572
15,Toronto,North America,Online,6095
7,Toronto,North America,Online,5695
1,London,North America,Online,9888
20,Toronto,Europe,Online,3131
6,London,Europe,Hybrid,6826
15,New York,Europe,Offline,8625
11,Toronto,Europe,Offline,1495
19,New York,North America,Offline,2752
18,New York,Europe,Offline,2082
